YAL044C	99	4	2	1	0	0	6	6	1	0	2	3	1	2	15	3	3	0	0	0	0	1	0	1	1	1	0	2	0	1	0	0	3	0	2	1	1	0	0	12	2	1	1	0
YAL046C	4	99	2	9	3	1	3	1	3	0	4	2	2	8	2	3	2	7	1	1	3	1	3	5	1	2	4	2	1	3	3	1	1	5	8	4	1	2	0	1	3	1	7	0
YAL048C	2	2	99	0	0	6	2	12	3	3	5	1	3	0	1	6	2	2	2	0	1	1	0	1	0	1	1	2	10	1	1	0	15	1	1	2	1	1	0	3	1	0	3	0
YAL049C	1	9	0	99	3	0	10	1	2	0	9	1	2	10	2	3	3	3	1	1	0	0	2	2	2	1	2	0	1	14	1	1	4	1	1	0	1	4	2	3	2	0	8	0
YAL051W	0	3	0	3	99	5	2	4	9	0	5	3	4	3	1	1	0	6	1	1	1	3	0	1	1	6	0	20	1	3	2	2	0	1	3	3	3	1	2	2	4	0	2	0
YAL056W	0	1	6	0	5	99	1	1	6	4	3	4	1	6	5	1	4	8	3	1	0	1	0	0	1	3	5	33	5	1	0	2	2	2	2	25	2	0	5	0	1	2	0	0
YAL063C	6	3	2	10	2	1	99	1	1	0	8	1	5	4	6	7	6	2	4	1	0	2	0	0	0	2	2	0	2	6	1	0	0	1	3	0	1	2	1	2	4	1	16	0
YAL064W-B	6	1	12	1	4	1	1	99	1	0	2	15	2	0	2	1	5	4	0	1	0	4	1	2	0	2	0	0	0	0	1	0	2	0	0	1	2	0	1	6	1	6	1	0
YAL065C	1	3	3	2	9	6	1	1	99	0	7	1	1	0	0	0	3	2	0	0	0	0	0	3	0	4	1	10	1	2	1	12	10	1	1	4	2	1	16	0	0	0	2	0
YAR007C	0	0	3	0	0	4	0	0	0	99	0	0	0	0	0	2	0	0	30	0	1	0	0	0	0	1	0	0	0	0	2	8	10	2	0	1	0	0	21	0	0	2	0	0
YAR009C	2	4	5	9	5	3	8	2	7	0	99	0	2	4	0	5	0	3	0	0	2	2	1	0	0	0	0	0	6	9	2	10	7	1	3	1	0	0	1	1	2	1	0	0
YAR020C	3	2	1	1	3	4	1	15	1	0	0	99	3	4	0	1	2	1	0	2	0	5	2	7	9	8	2	5	0	2	2	0	1	1	0	2	6	0	0	2	4	3	1	0
YCR056W	1	2	3	2	4	1	5	2	1	0	2	3	99	25	0	4	3	12	11	0	0	26	2	4	3	5	5	2	0	11	0	0	1	0	16	1	3	4	0	0	43	0	11	0
YCR057C	2	8	0	10	3	6	4	0	0	0	4	4	25	99	4	2	1	14	1	1	0	16	5	3	4	5	0	5	2	15	0	1	2	1	13	1	3	1	0	0	22	0	19	0
YCR059C	15	2	1	2	1	5	6	2	0	0	0	0	0	4	99	3	0	1	3	1	1	1	2	0	0	1	1	2	2	2	4	1	1	1	2	1	0	0	0	6	0	1	7	0
YCR060W	3	3	6	3	1	1	7	1	0	2	5	1	4	2	3	99	4	6	2	3	2	3	2	0	2	4	2	0	4	3	1	3	5	2	5	1	1	1	2	1	9	3	4	0
YCR061W	3	2	2	3	0	4	6	5	3	0	0	2	3	1	0	4	99	3	4	2	1	1	1	3	2	0	2	1	2	0	0	1	2	1	4	2	1	1	3	4	3	3	6	0
YCR062W	0	7	2	3	6	8	2	4	2	0	3	1	12	14	1	6	3	99	3	3	0	8	2	6	6	3	1	19	0	9	0	1	0	1	19	14	4	2	0	0	13	2	12	0
YCR063W	0	1	2	1	1	3	4	0	0	30	0	0	11	1	3	2	4	3	99	0	0	1	0	0	0	3	0	4	0	2	5	1	1	2	14	0	0	1	14	0	13	0	1	0
YDR450W	0	1	0	1	1	1	1	1	0	0	0	2	0	1	1	3	2	3	0	99	10	7	31	11	10	4	15	4	4	2	0	0	0	0	0	4	5	15	0	0	2	1	3	0
YDR451C	0	3	1	0	1	0	0	0	0	1	2	0	0	0	1	2	1	0	0	10	99	1	18	2	2	1	2	2	5	1	0	1	0	2	0	5	3	2	0	1	1	1	3	0
YDR453C	1	1	1	0	3	1	2	4	0	0	2	5	26	16	1	3	1	8	1	7	1	99	8	22	43	1	18	5	0	9	0	0	0	0	7	2	37	9	0	0	16	3	4	0
YDR454C	0	3	0	2	0	0	0	1	0	0	1	2	2	5	2	2	1	2	0	31	18	8	99	32	30	3	11	2	3	1	0	0	0	1	1	6	10	14	0	0	0	0	6	0
YDR455C	1	5	1	2	1	0	0	2	3	0	0	7	4	3	0	0	3	6	0	11	2	22	32	99	69	6	24	2	1	2	0	0	1	0	6	5	24	16	0	0	2	3	1	0
YDR456W	1	1	0	2	1	1	0	0	0	0	0	9	3	4	0	2	2	6	0	10	2	43	30	69	99	5	28	3	1	5	0	1	0	0	5	1	46	17	0	0	6	2	0	0
YDR457W	1	2	1	1	6	3	2	2	4	1	0	8	5	5	1	4	0	3	3	4	1	1	3	6	5	99	1	5	2	0	1	0	0	1	5	3	4	3	0	0	6	7	0	0
YDR458C	0	4	1	2	0	5	2	0	1	0	0	2	5	0	1	2	2	1	0	15	2	18	11	24	28	1	99	6	1	2	1	0	0	0	3	5	16	22	0	0	1	7	3	0
YDR459C	2	2	2	0	20	33	0	0	10	0	0	5	2	5	2	0	1	19	4	4	2	5	2	2	3	5	6	99	0	1	0	1	1	1	4	22	10	1	6	1	2	0	1	0
YDR463W	0	1	10	1	1	5	2	0	1	0	6	0	0	2	2	4	2	0	0	4	5	0	3	1	1	2	1	0	99	2	3	0	5	4	0	3	0	0	0	2	1	3	1	0
YDR464W	1	3	1	14	3	1	6	0	2	0	9	2	11	15	2	3	0	9	2	2	1	9	1	2	5	0	2	1	2	99	3	3	1	1	1	2	2	5	0	2	17	2	3	0
YJL131C	0	3	1	1	2	0	1	1	1	2	2	2	0	0	4	1	0	0	5	0	0	0	0	0	0	1	1	0	3	3	99	0	0	4	0	0	1	1	3	2	0	2	2	0
YJL132W	0	1	0	1	2	2	0	0	12	8	10	0	0	1	1	3	1	1	1	0	1	0	0	0	1	0	0	1	0	3	0	99	8	4	1	3	0	1	9	3	2	2	1	0
YJL133W	3	1	15	4	0	2	0	2	10	10	7	1	1	2	1	5	2	0	1	0	0	0	0	1	0	0	0	1	5	1	0	8	99	0	5	0	2	2	17	1	0	2	5	0
YJL134W	0	5	1	1	1	2	1	0	1	2	1	1	0	1	1	2	1	1	2	0	2	0	1	0	0	1	0	1	4	1	4	4	0	99	1	0	1	0	2	1	4	0	1	0
YJL136C	2	8	1	1	3	2	3	0	1	0	3	0	16	13	2	5	4	19	14	0	0	7	1	6	5	5	3	4	0	1	0	1	5	1	99	6	4	11	1	0	22	1	22	0
YJL137C	1	4	2	0	3	25	0	1	4	1	1	2	1	1	1	1	2	14	0	4	5	2	6	5	1	3	5	22	3	2	0	3	0	0	6	99	1	1	3	0	4	2	2	0
YJL138C	1	1	1	1	3	2	1	2	2	0	0	6	3	3	0	1	1	4	0	5	3	37	10	24	46	4	16	10	0	2	1	0	2	1	4	1	99	10	0	3	3	2	0	0
YJL139C	0	2	1	4	1	0	2	0	1	0	0	0	4	1	0	1	1	2	1	15	2	9	14	16	17	3	22	1	0	5	1	1	2	0	11	1	10	99	0	0	4	3	5	0
YJL140W	0	0	0	2	2	5	1	1	16	21	1	0	0	0	0	2	3	0	14	0	0	0	0	0	0	0	0	6	0	0	3	9	17	2	1	3	0	0	99	0	0	2	0	0
YJL141C	12	1	3	3	2	0	2	6	0	0	1	2	0	0	6	1	4	0	0	0	1	0	0	0	0	0	0	1	2	2	2	3	1	1	0	0	3	0	0	99	0	1	3	0
YJL142C	2	3	1	2	4	1	4	1	0	0	2	4	43	22	0	9	3	13	13	2	1	16	0	2	6	6	1	2	1	17	0	2	0	4	22	4	3	4	0	0	99	3	1	0
YJL143W	1	1	0	0	0	2	1	6	0	2	1	3	0	0	1	3	3	2	0	1	1	3	0	3	2	7	7	0	3	2	2	2	2	0	1	2	2	3	2	1	3	99	1	0
YJL144W	1	7	3	8	2	0	16	1	2	0	0	1	11	19	7	4	6	12	1	3	3	4	6	1	0	0	3	1	1	3	2	1	5	1	22	2	0	5	0	3	1	1	99	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
